decision,Model,Path Gambar,Nama File,Jumlah Objek,Kelas Unik,Kelas Dominan,Label YOLO Format
salah,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_00-00-41.jpg,CAMERA_1_2025-06-24_00-00-41.jpg,0,[],-,[]
benar,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_00-31-34.jpg,CAMERA_1_2025-06-24_00-31-34.jpg,0,[],-,[]
benar,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_00-34-57.jpg,CAMERA_1_2025-06-24_00-34-57.jpg,17,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19]",4,"['4 0.557633 0.799952 0.020448 0.020667', '11 0.443901 0.841242 0.020397 0.020316', '16 0.405725 0.65112 0.021076 0.020914', '5 0.57783 0.942218 0.020418 0.0202', '19 0.549689 0.765382 0.020359 0.020753', '3 0.365521 0.717947 0.058822 0.120345', '18 0.527477 0.67286 0.020337 0.020321', '8 0.498552 0.751644 0.019996 0.020756', '17 0.458192 0.647281 0.02051 0.020847', '9 0.499361 0.789557 0.019562 0.02046', '10 0.457821 0.688964 0.019902 0.019584', '7 0.610747 0.578902 0.020901 0.020631', '6 0.472435 0.570867 0.020614 0.020361', '13 0.5465 0.943762 0.021412 0.021512', '14 0.407243 0.571684 0.020356 0.019998', '12 0.535464 0.944484 0.021445 0.021731', '2 0.342794 0.461845 0.021273 0.028055']"
salah,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_00-36-39.jpg,CAMERA_1_2025-06-24_00-36-39.jpg,1,[0],0,['0 0.589005 0.787273 0.005236 0.003636']
salah,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_00-38-21.jpg,CAMERA_1_2025-06-24_00-38-21.jpg,1,[0],0,['0 0.554974 0.532727 0.005236 0.003636']
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_00-39-56.jpg,CAMERA_1_2025-06-24_00-39-56.jpg,18,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",4,"['4 0.553192 0.78803 0.019927 0.020308', '18 0.524197 0.6636 0.019969 0.020095', '11 0.441292 0.827741 0.020421 0.020779', '9 0.496163 0.77822 0.019398 0.019459', '10 0.455196 0.67962 0.019133 0.019574', '19 0.545504 0.754705 0.019967 0.020199', '5 0.573116 0.928924 0.02013 0.020428', '8 0.495484 0.741174 0.019822 0.020654', '14 0.406965 0.566234 0.020418 0.019965', '17 0.455661 0.639341 0.020055 0.020326', '16 0.404836 0.64375 0.020213 0.0202', '3 0.365387 0.707037 0.056363 0.11441', '6 0.470202 0.565052 0.020699 0.020482', '7 0.606366 0.572543 0.020578 0.020393', '13 0.542863 0.930769 0.020736 0.020883', '15 0.312713 0.674994 0.019652 0.020002', '12 0.531788 0.930406 0.020893 0.021057', '2 0.339504 0.451238 0.019801 0.030347']"
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_00-41-40.jpg,CAMERA_1_2025-06-24_00-41-40.jpg,0,[],-,[]
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_00-43-19.jpg,CAMERA_1_2025-06-24_00-43-19.jpg,15,"[1, 2, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18]",16,"['16 0.338956 0.704189 0.02017 0.02055', '11 0.437637 0.827908 0.020643 0.0209', '1 0.56603 0.711275 0.055087 0.121199', '9 0.493353 0.778274 0.019756 0.019745', '8 0.492393 0.741212 0.020563 0.021166', '17 0.389627 0.652394 0.020075 0.020706', '7 0.459685 0.565025 0.020289 0.0203', '15 0.323447 0.628789 0.019708 0.019864', '5 0.570189 0.928637 0.020372 0.020927', '6 0.327299 0.564987 0.019344 0.019453', '13 0.540298 0.930802 0.021378 0.021911', '10 0.45032 0.680064 0.019633 0.020261', '12 0.528764 0.930559 0.021404 0.021991', '18 0.458693 0.644287 0.019671 0.01977', '2 0.333737 0.459801 0.020184 0.048846']"
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_00-45-00.jpg,CAMERA_1_2025-06-24_00-45-00.jpg,0,[],-,[]
,Model,C:\Users\Aldan\Desktop\ImproTYT\Review03072025\Zenix\CAMERA_1_2025-06-24_00-46-42.jpg,CAMERA_1_2025-06-24_00-46-42.jpg,0,[],-,[]
