Model,Path Gambar,Nama File,Jumlah Objek,Kelas Unik,Kelas Dominan,Label YOLO Format
Fortuner,/home/pcsistem/DevelopmentApp/AI Common App/ai-training/datasets/Welding-Confirmation-P1-ubc-new/camera_5/newImage/datacamera/2025-06-18_20-59-02/CAMERA_1.jpg,CAMERA_1.jpg,22,"[0, 1, 2, 4, 6, 8, 9, 10, 11, 13, 14, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28]",8,"['8 0.597026 0.68787 0.048698 0.083288', '11 0.624936 0.688854 0.020235 0.020468', '26 0.372483 0.722666 0.019654 0.019607', '28 0.595398 0.778303 0.020008 0.019902', '17 0.506504 0.548152 0.020392 0.02059', '6 0.534195 0.582499 0.029555 0.035295', '23 0.557482 0.540337 0.019638 0.020093', '16 0.420776 0.536175 0.020197 0.020385', '14 0.56038 0.620187 0.021151 0.020643', '24 0.612709 0.772766 0.019789 0.019526', '21 0.360908 0.561008 0.020438 0.020979', '4 0.557956 0.856539 0.027501 0.048395', '13 0.569949 0.625273 0.020414 0.020272', '9 0.58529 0.644836 0.020519 0.020073', '18 0.589154 0.625794 0.019854 0.020081', '25 0.356721 0.816833 0.020253 0.020129', '10 0.576115 0.71379 0.020295 0.020274', '0 0.340123 0.673453 0.020652 0.021068', '22 0.583602 0.606544 0.020133 0.020324', '2 0.312902 0.607992 0.020518 0.020152', '27 0.551057 0.813431 0.019825 0.019688', '1 0.317731 0.56628 0.020622 0.020326']"
Innvova,/home/pcsistem/DevelopmentApp/AI Common App/ai-training/datasets/Welding-Confirmation-P1-ubc-new/camera_5/newImage/datacamera/2025-06-19_04-29-58/CAMERA_1.jpg,CAMERA_1.jpg,26,"[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28]",18,"['28 0.559441 0.537143 0.019386 0.020191', '4 0.533533 0.585107 0.028888 0.034491', '6 0.358768 0.707257 0.019423 0.019354', '8 0.337752 0.679781 0.044889 0.081883', '9 0.558851 0.620774 0.019609 0.020169', '24 0.610351 0.772824 0.020634 0.021275', '20 0.351753 0.526354 0.020014 0.020399', '19 0.582931 0.607108 0.019824 0.0195', '3 0.617173 0.616749 0.020681 0.051506', '13 0.507364 0.552451 0.019857 0.020321', '23 0.571788 0.517968 0.019827 0.020216', '10 0.56868 0.625288 0.019118 0.019572', '14 0.587709 0.627106 0.020133 0.019902', '16 0.540166 0.672345 0.020436 0.036085', '5 0.350239 0.639324 0.019829 0.019578', '12 0.421621 0.53983 0.020232 0.02045', '2 0.55511 0.855585 0.025481 0.045335', '11 0.361735 0.564082 0.019974 0.02019', '25 0.356114 0.816324 0.019662 0.020844', '26 0.372226 0.721352 0.01889 0.01942', '0 0.592358 0.680116 0.020158 0.019428', '7 0.311037 0.680145 0.020017 0.01957', '21 0.426156 0.49812 0.019167 0.019624', '18 0.59234 0.766546 0.021291 0.04503', '18 0.593204 0.777095 0.019756 0.023745', '27 0.438357 0.501726 0.01988 0.020002']"
Fortuner,/home/pcsistem/DevelopmentApp/AI Common App/ai-training/datasets/Welding-Confirmation-P1-ubc-new/camera_5/newImage/datacamera/2025-06-18_21-59-12/CAMERA_1.jpg,CAMERA_1.jpg,23,"[0, 1, 2, 4, 6, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28]",8,"['8 0.595725 0.689952 0.048152 0.083777', '16 0.420746 0.540025 0.021088 0.021237', '28 0.593707 0.780226 0.019551 0.019347', '17 0.507528 0.552449 0.020593 0.020485', '11 0.62253 0.692165 0.020194 0.019875', '26 0.372261 0.723473 0.019827 0.019936', '13 0.56812 0.628249 0.020451 0.020364', '18 0.588463 0.629681 0.020251 0.01995', '14 0.559695 0.623221 0.020472 0.020529', '9 0.584097 0.647395 0.020427 0.020455', '15 0.359496 0.591862 0.020514 0.021214', '6 0.534643 0.585516 0.029777 0.035833', '24 0.611391 0.774776 0.020363 0.020059', '22 0.583102 0.610823 0.02093 0.02109', '25 0.356448 0.819248 0.020686 0.020601', '27 0.550593 0.814774 0.020223 0.020267', '21 0.361713 0.563866 0.020296 0.020536', '4 0.554808 0.853365 0.02375 0.046079', '10 0.574612 0.715933 0.020634 0.02062', '0 0.34211 0.675148 0.019803 0.020037', '2 0.313519 0.60903 0.02068 0.021026', '1 0.319127 0.566015 0.020363 0.019991', '23 0.55741 0.545841 0.020911 0.020929']"
Fortuner,/home/pcsistem/DevelopmentApp/AI Common App/ai-training/datasets/Welding-Confirmation-P1-ubc-new/camera_5/newImage/datacamera/2025-06-18_16-41-22/CAMERA_1.jpg,CAMERA_1.jpg,23,"[0, 1, 2, 4, 6, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28]",8,"['8 0.595031 0.687395 0.04869 0.081277', '17 0.506397 0.549066 0.02015 0.020086', '13 0.567447 0.626791 0.020273 0.020417', '11 0.622724 0.690301 0.020467 0.020181', '14 0.557413 0.621542 0.021285 0.021117', '28 0.592983 0.778765 0.020179 0.019844', '24 0.610832 0.774392 0.020355 0.020272', '9 0.583664 0.64666 0.020261 0.019534', '26 0.370697 0.724111 0.019965 0.019929', '10 0.573717 0.714844 0.020279 0.020411', '18 0.587838 0.628235 0.019803 0.020495', '21 0.359277 0.562538 0.019624 0.020308', '6 0.532662 0.584035 0.028303 0.034179', '4 0.554586 0.859563 0.025794 0.047452', '25 0.353712 0.817816 0.019736 0.019584', '27 0.549304 0.813848 0.019781 0.019399', '0 0.338755 0.673549 0.020648 0.020648', '22 0.581662 0.608591 0.020829 0.021063', '16 0.418674 0.537082 0.020537 0.020681', '2 0.311026 0.608686 0.02041 0.020629', '1 0.316128 0.567009 0.021 0.020489', '23 0.55626 0.542794 0.020067 0.020025', '15 0.357124 0.590474 0.019785 0.019982']"
Fortuner,/home/pcsistem/DevelopmentApp/AI Common App/ai-training/datasets/Welding-Confirmation-P1-ubc-new/camera_5/newImage/datacamera/2025-06-19_01-38-53/CAMERA_1.jpg,CAMERA_1.jpg,22,"[0, 1, 2, 4, 6, 8, 9, 10, 11, 13, 14, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28]",11,"['11 0.624334 0.688364 0.020257 0.020318', '8 0.59627 0.686793 0.048848 0.082376', '28 0.59388 0.77844 0.020391 0.020385', '26 0.371513 0.722072 0.019719 0.0197', '6 0.533235 0.582496 0.028781 0.034602', '21 0.360281 0.562161 0.020911 0.021028', '13 0.569035 0.625113 0.020367 0.020365', '25 0.355064 0.81697 0.020011 0.019888', '14 0.559587 0.620571 0.020271 0.020179', '4 0.556575 0.855062 0.026452 0.046952', '9 0.584607 0.644379 0.02032 0.019978', '24 0.612163 0.771696 0.020355 0.020472', '18 0.588899 0.625796 0.020404 0.020387', '17 0.506861 0.547632 0.020538 0.020268', '22 0.582888 0.606735 0.020297 0.020186', '23 0.557404 0.541353 0.019738 0.020183', '10 0.575266 0.714001 0.020138 0.020034', '0 0.339769 0.673699 0.020174 0.020546', '2 0.312073 0.607489 0.020069 0.02008', '1 0.316747 0.566096 0.020451 0.019834', '27 0.550985 0.813442 0.020211 0.020237', '16 0.419743 0.536359 0.020264 0.02026']"
Innvova,/home/pcsistem/DevelopmentApp/AI Common App/ai-training/datasets/Welding-Confirmation-P1-ubc-new/camera_5/newImage/datacamera/2025-06-18_21-14-57/CAMERA_1.jpg,CAMERA_1.jpg,26,"[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]",4,"['4 0.532026 0.593657 0.025758 0.030774', '7 0.30594 0.691935 0.019612 0.019353', '6 0.354024 0.7199 0.020354 0.019832', '5 0.345411 0.650227 0.019848 0.020391', '8 0.332586 0.690341 0.04232 0.080372', '13 0.504182 0.55892 0.020738 0.02116', '26 0.36798 0.733766 0.020248 0.021062', '22 0.491148 0.506017 0.01984 0.019317', '21 0.42139 0.504582 0.019754 0.020418', '27 0.434239 0.50769 0.020099 0.019918', '23 0.569831 0.524365 0.020903 0.020912', '20 0.347328 0.534169 0.020268 0.020751', '0 0.591018 0.690212 0.020138 0.020474', '1 0.553832 0.862892 0.028297 0.045194', '19 0.580716 0.615192 0.020761 0.020877', '9 0.556335 0.628418 0.019151 0.019607', '11 0.356916 0.572427 0.01973 0.019908', '17 0.591309 0.788737 0.020811 0.021251', '24 0.609705 0.783054 0.020271 0.019917', '12 0.41614 0.546033 0.020196 0.019944', '25 0.351599 0.829405 0.019709 0.021424', '14 0.585991 0.635194 0.021385 0.020852', '10 0.565997 0.635341 0.020573 0.020852', '3 0.613417 0.621776 0.019545 0.045783', '15 0.537491 0.680417 0.020159 0.019884', '28 0.556736 0.542255 0.01958 0.019949']"
Fortuner,/home/pcsistem/DevelopmentApp/AI Common App/ai-training/datasets/Welding-Confirmation-P1-ubc-new/camera_5/newImage/datacamera/2025-06-19_05-31-46/CAMERA_1.jpg,CAMERA_1.jpg,22,"[0, 1, 2, 4, 6, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 21, 23, 24, 25, 26, 27, 28]",8,"['8 0.591164 0.692618 0.048206 0.081292', '11 0.619157 0.694273 0.020307 0.020065', '24 0.606296 0.777889 0.019744 0.020055', '6 0.529126 0.588455 0.02979 0.035084', '26 0.367314 0.727947 0.01958 0.019577', '1 0.313052 0.571583 0.020668 0.020936', '27 0.545547 0.818962 0.019771 0.020129', '2 0.308025 0.615043 0.020211 0.020458', '9 0.579035 0.651035 0.020232 0.019677', '17 0.502313 0.553903 0.020212 0.020312', '28 0.588743 0.783705 0.020256 0.020108', '23 0.551732 0.548098 0.02044 0.020084', '14 0.554771 0.626197 0.020597 0.020867', '25 0.35133 0.822841 0.019718 0.019816', '15 0.353142 0.595653 0.020072 0.019365', '10 0.570054 0.720906 0.020152 0.020339', '21 0.3561 0.568381 0.020496 0.020631', '0 0.335605 0.680856 0.020134 0.020114', '4 0.551612 0.863291 0.02694 0.047336', '13 0.56343 0.630832 0.019923 0.020736', '16 0.415266 0.542987 0.020702 0.020664', '18 0.582588 0.63157 0.020914 0.020712']"
Innvova,/home/pcsistem/DevelopmentApp/AI Common App/ai-training/datasets/Welding-Confirmation-P1-ubc-new/camera_5/newImage/datacamera/2025-06-18_16-25-22/CAMERA_1.jpg,CAMERA_1.jpg,26,"[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]",28,"['28 0.558232 0.540126 0.020326 0.02017', '6 0.356868 0.713278 0.019448 0.019997', '7 0.309207 0.685753 0.019707 0.019402', '4 0.532909 0.588969 0.028249 0.032553', '24 0.610675 0.777224 0.020171 0.020707', '0 0.591077 0.684668 0.019862 0.019851', '8 0.335617 0.685088 0.043815 0.081854', '5 0.348471 0.644809 0.019856 0.019815', '13 0.504887 0.553436 0.020858 0.020406', '20 0.349456 0.530114 0.020641 0.020726', '26 0.371014 0.727532 0.019506 0.020299', '22 0.49281 0.503708 0.020107 0.01991', '25 0.354588 0.822662 0.019907 0.020865', '12 0.418889 0.543517 0.019559 0.02029', '19 0.581749 0.610302 0.020026 0.02087', '16 0.538618 0.677423 0.019293 0.032745', '11 0.359988 0.568275 0.020659 0.020546', '27 0.436714 0.504357 0.019997 0.01995', '9 0.557186 0.624084 0.019702 0.020548', '23 0.570951 0.520173 0.019978 0.02098', '3 0.615877 0.620177 0.020439 0.049233', '10 0.5681 0.629684 0.019753 0.020457', '2 0.554822 0.858032 0.024785 0.042749', '14 0.587322 0.630849 0.020518 0.019764', '18 0.593037 0.78121 0.020096 0.023649', '21 0.42374 0.502217 0.019675 0.01971']"
Fortuner,/home/pcsistem/DevelopmentApp/AI Common App/ai-training/datasets/Welding-Confirmation-P1-ubc-new/camera_5/newImage/datacamera/2025-06-18_22-48-35/CAMERA_1.jpg,CAMERA_1.jpg,20,"[0, 4, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 22, 24, 25, 26, 27, 28]",27,"['27 0.546189 0.807128 0.019735 0.019613', '6 0.530213 0.578782 0.029481 0.035428', '14 0.564593 0.621554 0.02021 0.020198', '10 0.353725 0.705038 0.019652 0.019793', '13 0.554442 0.61686 0.019938 0.019615', '16 0.415776 0.534726 0.020936 0.020975', '18 0.583762 0.62179 0.02005 0.019687', '22 0.578253 0.602722 0.020033 0.020055', '4 0.550709 0.844951 0.028492 0.051951', '0 0.588175 0.674704 0.020175 0.019321', '28 0.589818 0.77255 0.020069 0.020434', '15 0.356817 0.559359 0.020371 0.020187', '12 0.332378 0.677903 0.046482 0.085428', '5 0.612573 0.620064 0.02036 0.038158', '9 0.345681 0.635455 0.019899 0.01967', '26 0.367732 0.7177 0.019535 0.019646', '24 0.607288 0.76848 0.020394 0.020467', '17 0.502196 0.543268 0.021148 0.020791', '25 0.351672 0.812842 0.019688 0.019681', '11 0.306074 0.679436 0.019883 0.020235']"
Fortuner,/home/pcsistem/DevelopmentApp/AI Common App/ai-training/datasets/Welding-Confirmation-P1-ubc-new/camera_5/newImage/datacamera/2025-06-18_19-01-20/CAMERA_1.jpg,CAMERA_1.jpg,23,"[0, 1, 2, 4, 6, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28]",11,"['11 0.623238 0.690324 0.020075 0.019729', '8 0.595444 0.687989 0.049327 0.082582', '17 0.506543 0.549005 0.020254 0.02015', '13 0.567928 0.626789 0.020427 0.019911', '26 0.370819 0.722095 0.01991 0.019888', '6 0.532843 0.584182 0.028252 0.033731', '28 0.593377 0.779595 0.020297 0.020147', '21 0.359906 0.562642 0.019641 0.02027', '14 0.557958 0.620919 0.020153 0.019889', '25 0.354259 0.817379 0.019891 0.01966', '18 0.58765 0.627345 0.019839 0.020055', '9 0.583631 0.645925 0.020187 0.020062', '4 0.556667 0.857318 0.027021 0.049349', '24 0.610994 0.773268 0.020411 0.020517', '22 0.581726 0.607955 0.020354 0.019863', '10 0.574332 0.714303 0.02017 0.020255', '27 0.550404 0.814041 0.020735 0.020277', '0 0.338986 0.673964 0.0202 0.020367', '2 0.311043 0.608308 0.020215 0.02026', '16 0.419174 0.536987 0.020237 0.020369', '1 0.315778 0.565306 0.020615 0.02002', '23 0.5558 0.542265 0.019703 0.019515', '15 0.357626 0.590414 0.020012 0.02021']"
