Model,Path Gambar,Nama File,Jumlah Objek,Kelas Unik,Kelas Dominan,Label YOLO Format,Path Txt
Innova,E:\24_1_Juli_dataset\2025-07-01_11-09-25\CAMERA_1.jpg,CAMERA_1.jpg,26,"[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]",10,"['10 0.571245 0.628367 0.02359 0.023232', '19 0.585043 0.608096 0.022876 0.02347', '14 0.590416 0.627996 0.022551 0.023119', '8 0.336705 0.684049 0.044277 0.080705', '23 0.5733 0.516917 0.023544 0.023701', '15 0.541698 0.675038 0.023113 0.023313', '12 0.420881 0.540772 0.023431 0.023083', '28 0.560336 0.537604 0.023354 0.023473', '25 0.355964 0.821558 0.02333 0.023777', '9 0.561212 0.623312 0.023189 0.023314', '11 0.361116 0.56552 0.02315 0.022798', '17 0.596338 0.782258 0.02378 0.023481', '24 0.613765 0.777763 0.023406 0.023902', '4 0.535686 0.585883 0.026923 0.032618', '13 0.508454 0.552448 0.023303 0.023351', '5 0.350022 0.643602 0.022998 0.022938', '26 0.372779 0.727801 0.023123 0.02297', '3 0.617557 0.614455 0.023177 0.044836', '1 0.558437 0.85768 0.026858 0.042594', '0 0.595532 0.684423 0.023162 0.023799', '22 0.495916 0.500602 0.023435 0.023529', '7 0.309553 0.685204 0.022836 0.023432', '20 0.350554 0.527378 0.022918 0.023305', '6 0.358067 0.712951 0.023476 0.023248', '21 0.425658 0.498051 0.023281 0.02441', '27 0.438931 0.502013 0.024046 0.023991']",E:\24_1_Juli_dataset\2025-07-01_11-09-25\CAMERA_1.txt
Innova,E:\24_1_Juli_dataset\2025-07-01_11-09-15\CAMERA_1.jpg,CAMERA_1.jpg,26,"[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]",8,"['8 0.33911 0.672959 0.045347 0.082736', '19 0.585082 0.601774 0.022874 0.023235', '9 0.561652 0.616022 0.023912 0.0239', '14 0.590755 0.621196 0.023084 0.02321', '12 0.422897 0.532508 0.023931 0.0232', '20 0.353819 0.519421 0.023402 0.023687', '23 0.574236 0.510656 0.022987 0.023679', '10 0.572172 0.620837 0.024063 0.023861', '11 0.364342 0.557308 0.023038 0.023405', '4 0.536102 0.578506 0.028557 0.033513', '3 0.619397 0.610289 0.02273 0.046928', '28 0.561333 0.531277 0.023445 0.023403', '18 0.594895 0.769592 0.022711 0.023121', '21 0.427719 0.491933 0.023538 0.023721', '0 0.595039 0.675678 0.023387 0.022956', '2 0.556391 0.851342 0.028355 0.053081', '25 0.357988 0.809068 0.022912 0.022957', '22 0.496967 0.493776 0.022954 0.023049', '27 0.44135 0.49488 0.02294 0.023271', '6 0.360727 0.700954 0.023558 0.023293', '26 0.374555 0.714246 0.023855 0.023342', '7 0.312613 0.672802 0.022853 0.023317', '13 0.509363 0.546248 0.023194 0.023381', '24 0.61305 0.766173 0.023358 0.022954', '5 0.351995 0.632471 0.023102 0.022914', '16 0.542096 0.6655 0.023729 0.026978']",E:\24_1_Juli_dataset\2025-07-01_11-09-15\CAMERA_1.txt
Innova,E:\24_1_Juli_dataset\2025-07-01_11-09-02\CAMERA_1.jpg,CAMERA_1.jpg,26,"[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]",10,"['10 0.574712 0.620015 0.023645 0.023736', '11 0.366618 0.558021 0.023202 0.023559', '20 0.356572 0.519868 0.023342 0.02355', '8 0.342828 0.67387 0.045257 0.082548', '12 0.42599 0.53284 0.023513 0.023471', '14 0.593609 0.620397 0.02292 0.023004', '9 0.564939 0.615857 0.023289 0.023894', '19 0.588395 0.601219 0.023167 0.023254', '26 0.378377 0.715026 0.023604 0.023494', '23 0.576854 0.510086 0.023078 0.023473', '4 0.539042 0.578919 0.02921 0.034334', '28 0.564008 0.530763 0.023227 0.023345', '2 0.560486 0.849822 0.027547 0.051153', '27 0.44387 0.49507 0.022986 0.023353', '21 0.430467 0.491975 0.023294 0.023856', '3 0.621747 0.609394 0.022904 0.047576', '0 0.598339 0.674642 0.023409 0.023246', '7 0.31614 0.67372 0.023444 0.023626', '18 0.598685 0.769093 0.022929 0.023254', '6 0.364122 0.701723 0.023492 0.023634', '22 0.499919 0.49376 0.023242 0.023393', '24 0.616752 0.765388 0.023053 0.02338', '25 0.362142 0.810405 0.022558 0.022829', '13 0.512052 0.54651 0.023601 0.023668', '16 0.545519 0.665562 0.023217 0.025337', '5 0.355737 0.632935 0.02363 0.023189']",E:\24_1_Juli_dataset\2025-07-01_11-09-02\CAMERA_1.txt
Innova,E:\24_1_Juli_dataset\2025-07-01_11-04-07\CAMERA_1.jpg,CAMERA_1.jpg,26,"[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]",10,"['10 0.570696 0.62181 0.023453 0.023601', '26 0.374343 0.720755 0.023471 0.022895', '19 0.584729 0.602788 0.02313 0.023463', '23 0.573558 0.512894 0.023056 0.023469', '12 0.421787 0.53535 0.023787 0.023959', '8 0.337987 0.678928 0.045052 0.08345', '11 0.3621 0.560851 0.023245 0.023245', '9 0.561133 0.618048 0.023711 0.023333', '28 0.560417 0.532698 0.023147 0.022987', '14 0.590398 0.623447 0.023148 0.023213', '4 0.535367 0.580307 0.028805 0.03529', '3 0.618918 0.612245 0.023114 0.047187', '24 0.614211 0.769042 0.022831 0.022517', '18 0.595683 0.77359 0.022746 0.023127', '22 0.496142 0.496315 0.023536 0.023325', '6 0.359693 0.706885 0.023624 0.023183', '13 0.508627 0.547726 0.023617 0.023566', '5 0.350899 0.63772 0.023609 0.023332', '21 0.425966 0.493626 0.023835 0.024001', '25 0.357629 0.815738 0.023462 0.023325', '2 0.554433 0.854747 0.033233 0.052724', '27 0.439679 0.496651 0.023013 0.023411', '7 0.31084 0.678738 0.023005 0.02404', '16 0.5415 0.668786 0.024155 0.02535', '20 0.351585 0.522687 0.023463 0.023595', '0 0.595126 0.677943 0.023525 0.02331']",E:\24_1_Juli_dataset\2025-07-01_11-04-07\CAMERA_1.txt
Innova,E:\24_1_Juli_dataset\2025-07-01_10-44-06\CAMERA_1.jpg,CAMERA_1.jpg,26,"[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]",20,"['20 0.356017 0.517338 0.023286 0.023362', '8 0.341745 0.671282 0.044336 0.080593', '11 0.366134 0.555307 0.022888 0.023007', '14 0.592488 0.618297 0.023119 0.023374', '12 0.425031 0.531323 0.02389 0.023863', '10 0.57327 0.617708 0.023693 0.023404', '9 0.563941 0.613564 0.022877 0.023403', '23 0.576575 0.509116 0.022796 0.023346', '19 0.587203 0.598736 0.023313 0.023462', '24 0.616374 0.763064 0.023178 0.023251', '4 0.538475 0.576338 0.028309 0.033941', '5 0.354671 0.630639 0.023655 0.023764', '28 0.563639 0.528032 0.023012 0.023583', '27 0.442804 0.491987 0.023496 0.023745', '3 0.621508 0.607971 0.023694 0.048636', '25 0.360633 0.80845 0.023505 0.023378', '26 0.37748 0.712777 0.023918 0.023818', '21 0.429865 0.488796 0.023241 0.024088', '7 0.315544 0.672082 0.023134 0.023367', '22 0.49937 0.491873 0.0233 0.023682', '0 0.597442 0.671969 0.023442 0.023343', '16 0.544507 0.663747 0.023175 0.024969', '6 0.362939 0.69906 0.023668 0.023563', '18 0.598758 0.767819 0.023338 0.023397', '13 0.511719 0.54352 0.023489 0.023409', '2 0.560593 0.845528 0.025845 0.044996']",E:\24_1_Juli_dataset\2025-07-01_10-44-06\CAMERA_1.txt
Innova,E:\24_1_Juli_dataset\2025-07-01_10-18-54\CAMERA_1.jpg,CAMERA_1.jpg,26,"[0, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]",18,"['26 0.37648 0.717979 0.023545 0.024039', '8 0.340821 0.675337 0.045485 0.083322', '11 0.365662 0.558949 0.022962 0.023018', '14 0.591875 0.621822 0.022944 0.023206', '19 0.586337 0.601925 0.022842 0.022763', '9 0.562827 0.616914 0.022596 0.022799', '10 0.572568 0.621698 0.023587 0.023347', '23 0.575133 0.512103 0.023102 0.023647', '12 0.424408 0.534536 0.023789 0.023889', '4 0.53756 0.580533 0.029109 0.033294', '3 0.620165 0.611067 0.022628 0.049757', '13 0.510968 0.547176 0.023173 0.02304', '20 0.354789 0.521286 0.023276 0.023884', '28 0.562566 0.531511 0.023346 0.023308', '6 0.362018 0.70262 0.022911 0.023241', '24 0.61457 0.767559 0.02275 0.022624', '27 0.442752 0.496162 0.023346 0.023378', '7 0.314448 0.674765 0.023777 0.024075', '21 0.42865 0.492675 0.023505 0.024002', '22 0.498302 0.495841 0.023617 0.023415', '16 0.543445 0.667286 0.022711 0.036533', '0 0.596015 0.675781 0.023134 0.023241', '5 0.353862 0.634129 0.022976 0.022569', '18 0.596021 0.761968 0.023235 0.043872', '18 0.596518 0.769841 0.022772 0.027565', '25 0.35953 0.810945 0.023166 0.023339']",E:\24_1_Juli_dataset\2025-07-01_10-18-54\CAMERA_1.txt
Innova,E:\24_1_Juli_dataset\2025-07-01_09-56-32\CAMERA_1.jpg,CAMERA_1.jpg,25,"[0, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]",19,"['19 0.582862 0.59249 0.023043 0.023067', '10 0.568779 0.612476 0.022733 0.023236', '23 0.571465 0.502849 0.02279 0.022542', '8 0.336186 0.666381 0.043931 0.079602', '25 0.355127 0.804879 0.023945 0.024261', '9 0.559104 0.608221 0.023331 0.023388', '4 0.5339 0.570937 0.027075 0.032466', '3 0.615898 0.60125 0.023861 0.046181', '12 0.42014 0.526228 0.023365 0.023228', '11 0.360741 0.55147 0.023763 0.023331', '13 0.507372 0.538439 0.022909 0.023206', '17 0.594808 0.763363 0.023166 0.023313', '14 0.588063 0.612936 0.023181 0.022873', '5 0.34886 0.626265 0.02338 0.023562', '20 0.350757 0.51298 0.023687 0.023753', '24 0.612055 0.758823 0.023611 0.023767', '22 0.49497 0.486563 0.023694 0.02402', '15 0.539976 0.657301 0.024183 0.023669', '26 0.371444 0.710366 0.023193 0.023715', '0 0.59308 0.667823 0.023431 0.023782', '27 0.438115 0.486813 0.023779 0.023567', '28 0.559109 0.521879 0.02288 0.023074', '7 0.309277 0.667646 0.022806 0.023151', '6 0.357366 0.69512 0.023418 0.02314', '21 0.424791 0.484607 0.023202 0.023478']",E:\24_1_Juli_dataset\2025-07-01_09-56-32\CAMERA_1.txt
Innova,E:\24_1_Juli_dataset\2025-07-01_09-28-06\CAMERA_1.jpg,CAMERA_1.jpg,26,"[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]",24,"['24 0.615747 0.758544 0.023399 0.023754', '20 0.355612 0.513921 0.022957 0.023174', '23 0.575882 0.503871 0.022999 0.022922', '8 0.341387 0.666858 0.043187 0.079499', '14 0.593304 0.612956 0.023155 0.023042', '3 0.619546 0.600035 0.023411 0.045851', '4 0.538521 0.571182 0.027572 0.032457', '11 0.365054 0.552495 0.022899 0.023375', '19 0.587547 0.592941 0.023076 0.022732', '1 0.562758 0.840534 0.026557 0.043394', '12 0.424449 0.526533 0.023722 0.023373', '28 0.563201 0.52392 0.023077 0.02291', '13 0.51138 0.538703 0.023164 0.022894', '5 0.353867 0.625822 0.0234 0.023443', '17 0.599004 0.764064 0.022776 0.022843', '25 0.360429 0.804769 0.02297 0.02317', '9 0.564083 0.607848 0.023453 0.023826', '22 0.49861 0.487258 0.023777 0.024194', '0 0.597466 0.667165 0.022756 0.023302', '15 0.545397 0.656784 0.023463 0.023306', '27 0.44248 0.48752 0.023704 0.023718', '10 0.573926 0.612122 0.023077 0.023055', '26 0.376535 0.709381 0.023326 0.023724', '6 0.362712 0.694799 0.022986 0.02349', '7 0.314735 0.667892 0.023585 0.023883', '21 0.428825 0.484681 0.023072 0.024089']",E:\24_1_Juli_dataset\2025-07-01_09-28-06\CAMERA_1.txt
Innova,E:\24_1_Juli_dataset\2025-07-01_09-05-41\CAMERA_1.jpg,CAMERA_1.jpg,26,"[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]",28,"['28 0.556108 0.536153 0.022628 0.022913', '10 0.566744 0.626828 0.022572 0.023125', '19 0.580241 0.606572 0.0234 0.023471', '23 0.568762 0.517012 0.023418 0.023472', '8 0.333619 0.681481 0.043924 0.081203', '11 0.358519 0.564333 0.02279 0.02288', '12 0.417344 0.54012 0.022359 0.02266', '9 0.5567 0.622604 0.023073 0.02319', '26 0.369397 0.724766 0.024146 0.02385', '4 0.531599 0.584713 0.026278 0.032278', '25 0.353171 0.818913 0.023013 0.022776', '14 0.585569 0.626904 0.022999 0.023016', '1 0.554379 0.855038 0.025849 0.04344', '5 0.34677 0.640272 0.023588 0.023869', '24 0.608427 0.773426 0.023101 0.023148', '22 0.491876 0.501225 0.023634 0.023646', '7 0.307204 0.682878 0.023236 0.023925', '13 0.504051 0.55153 0.023425 0.023633', '15 0.537702 0.671324 0.023302 0.023716', '20 0.348406 0.52627 0.023251 0.023141', '3 0.612937 0.6137 0.022682 0.04763', '17 0.591048 0.778521 0.022742 0.023172', '6 0.355226 0.709654 0.023679 0.023988', '0 0.590024 0.680091 0.022878 0.02272', '21 0.422338 0.498334 0.023651 0.02423', '27 0.435142 0.50167 0.0231 0.023066']",E:\24_1_Juli_dataset\2025-07-01_09-05-41\CAMERA_1.txt
Innova,E:\24_1_Juli_dataset\2025-07-01_09-02-07\CAMERA_1.jpg,CAMERA_1.jpg,26,"[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]",20,"['20 0.355479 0.512814 0.02322 0.023462', '14 0.593593 0.61271 0.022979 0.023393', '19 0.58842 0.59298 0.022705 0.022272', '11 0.365892 0.551223 0.023128 0.023542', '8 0.341416 0.668187 0.045664 0.081607', '12 0.424746 0.526652 0.023691 0.023522', '23 0.576814 0.50349 0.023159 0.023024', '4 0.539002 0.571854 0.029147 0.032962', '3 0.621876 0.601503 0.02358 0.050899', '9 0.565335 0.607377 0.023068 0.023989', '24 0.616803 0.757918 0.023015 0.023048', '13 0.511767 0.538374 0.023527 0.023235', '5 0.354391 0.625992 0.023917 0.023961', '7 0.315135 0.668109 0.02347 0.023602', '27 0.442417 0.487506 0.023374 0.023626', '22 0.49877 0.486782 0.023663 0.023627', '10 0.574686 0.612096 0.02379 0.023007', '26 0.377323 0.709108 0.023591 0.023982', '28 0.563543 0.522599 0.023556 0.023373', '6 0.363443 0.694541 0.023542 0.023693', '2 0.561271 0.842508 0.025591 0.046359', '21 0.428663 0.48357 0.023977 0.023973', '16 0.54564 0.658477 0.023288 0.036598', '18 0.599164 0.753498 0.023455 0.041988', '25 0.361626 0.805034 0.022985 0.023535', '0 0.598501 0.6667 0.023723 0.023618']",E:\24_1_Juli_dataset\2025-07-01_09-02-07\CAMERA_1.txt
