Model,Path Gambar,Nama File,Jumlah Objek,Kelas Unik,Kelas Dominan,Label YOLO Format
Fortuner,E:\datacamera2\2025-06-24_10-30-33\CAMERA_1.jpg,CAMERA_1.jpg,0,[],-,[]
Innova,E:\datacamera2\2025-06-24_10-30-33\CAMERA_1.jpg,CAMERA_1.jpg,2,"[8, 26]",8,"['8 0.363331 0.709169 0.049557 0.110184', '26 0.551073 0.786366 0.01853 0.019606']"
Zenix,E:\datacamera2\2025-06-24_10-30-33\CAMERA_1.jpg,CAMERA_1.jpg,18,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",3,"['3 0.361553 0.706316 0.054188 0.114009', '18 0.521122 0.662089 0.020229 0.02006', '17 0.452732 0.639305 0.01951 0.02016', '9 0.49428 0.776981 0.019906 0.019742', '19 0.542725 0.754293 0.019425 0.019863', '6 0.468404 0.562883 0.020416 0.01986', '7 0.604378 0.568766 0.019876 0.019683', '11 0.438763 0.827991 0.019956 0.019969', '14 0.403612 0.563369 0.020351 0.020385', '15 0.309167 0.673761 0.020426 0.020432', '4 0.551396 0.786383 0.019774 0.020017', '13 0.541571 0.928961 0.020529 0.020958', '16 0.40151 0.64119 0.020096 0.020693', '12 0.530759 0.929327 0.020478 0.020707', '8 0.493515 0.73901 0.019922 0.020012', '5 0.572609 0.927915 0.020113 0.020321', '2 0.335301 0.451039 0.020786 0.031554', '10 0.452672 0.679988 0.018742 0.019163']"
Fortuner,E:\datacamera2\2025-06-24_10-28-56\CAMERA_1.jpg,CAMERA_1.jpg,19,"[0, 4, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16, 17, 22, 24, 25, 26, 27, 28]",10,"['10 0.360049 0.719064 0.019706 0.019588', '6 0.537014 0.589123 0.029816 0.035433', '12 0.337947 0.691462 0.046214 0.083633', '27 0.554175 0.822254 0.019973 0.019448', '15 0.361738 0.570609 0.020165 0.020141', '0 0.596149 0.687173 0.020287 0.02051', '11 0.311139 0.692712 0.019927 0.019968', '4 0.558298 0.859865 0.028289 0.052076', '9 0.350848 0.648752 0.019829 0.019527', '17 0.509163 0.55598 0.019803 0.020459', '24 0.615428 0.780495 0.019813 0.019991', '5 0.620979 0.630955 0.020916 0.03803', '22 0.58634 0.614575 0.020256 0.020197', '13 0.563623 0.629084 0.019906 0.01988', '26 0.37413 0.733863 0.020022 0.020334', '28 0.597093 0.786569 0.020318 0.019802', '25 0.356578 0.830186 0.019849 0.019785', '16 0.421682 0.54583 0.019888 0.020066', '14 0.572252 0.633731 0.020169 0.02053']"
Innova,E:\datacamera2\2025-06-24_10-28-56\CAMERA_1.jpg,CAMERA_1.jpg,17,"[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 16, 17, 19, 24, 25, 26]",4,"['4 0.535984 0.590177 0.029969 0.031738', '6 0.3596 0.719645 0.019723 0.019787', '5 0.350721 0.648837 0.01923 0.019431', '7 0.3106 0.692467 0.020237 0.020004', '8 0.337592 0.690941 0.045605 0.08475', '16 0.542722 0.681762 0.020384 0.039089', '26 0.373527 0.734354 0.019887 0.019346', '0 0.596444 0.687529 0.020381 0.020093', '24 0.615098 0.780462 0.018923 0.019824', '9 0.563091 0.628287 0.019523 0.020335', '25 0.356481 0.829856 0.019335 0.020011', '3 0.620889 0.623798 0.019597 0.050795', '19 0.586405 0.612886 0.020994 0.02078', '10 0.572663 0.632775 0.019656 0.019419', '17 0.597215 0.786128 0.019992 0.020427', '2 0.559513 0.860395 0.021896 0.039512', '11 0.361757 0.570195 0.019641 0.01972']"
Zenix,E:\datacamera2\2025-06-24_10-28-56\CAMERA_1.jpg,CAMERA_1.jpg,0,[],-,[]
Fortuner,E:\datacamera2\2025-06-24_10-26-51\CAMERA_1.jpg,CAMERA_1.jpg,0,[],-,[]
Innova,E:\datacamera2\2025-06-24_10-26-51\CAMERA_1.jpg,CAMERA_1.jpg,0,[],-,[]
Zenix,E:\datacamera2\2025-06-24_10-26-51\CAMERA_1.jpg,CAMERA_1.jpg,17,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19]",9,"['9 0.496085 0.780412 0.019815 0.019935', '18 0.52391 0.665724 0.019924 0.019761', '17 0.454819 0.641936 0.020421 0.020815', '14 0.406644 0.567049 0.020232 0.019891', '7 0.605424 0.57518 0.020019 0.020153', '3 0.364349 0.708644 0.054145 0.114134', '6 0.47059 0.567442 0.020019 0.019586', '19 0.544386 0.75805 0.019568 0.019778', '8 0.49506 0.742718 0.019456 0.019972', '13 0.542981 0.932468 0.019981 0.020433', '16 0.404132 0.644939 0.019616 0.019637', '11 0.440674 0.830442 0.019524 0.019271', '10 0.45466 0.682287 0.018945 0.019261', '12 0.532009 0.932846 0.020636 0.020711', '5 0.573918 0.931189 0.019738 0.019704', '2 0.339824 0.454937 0.019024 0.027339', '4 0.552403 0.790866 0.019231 0.019649']"
Fortuner,E:\datacamera2\2025-06-24_10-25-15\CAMERA_1.jpg,CAMERA_1.jpg,23,"[0, 1, 2, 4, 6, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28]",8,"['8 0.598543 0.68911 0.047841 0.081458', '11 0.626173 0.69108 0.020444 0.020306', '14 0.562761 0.622827 0.020663 0.020539', '16 0.421851 0.538441 0.019925 0.020517', '28 0.596328 0.780864 0.020798 0.020552', '6 0.536196 0.584986 0.029708 0.036151', '21 0.362367 0.563439 0.020527 0.020626', '24 0.614825 0.775149 0.020364 0.020442', '18 0.590866 0.629122 0.01991 0.020158', '10 0.577228 0.71711 0.020263 0.020138', '13 0.571442 0.627778 0.020157 0.020616', '9 0.586858 0.647785 0.019683 0.01953', '27 0.553242 0.815755 0.01993 0.019838', '26 0.373757 0.724999 0.019709 0.019869', '17 0.509594 0.551558 0.020745 0.021113', '4 0.558297 0.859335 0.026907 0.04581', '22 0.585284 0.609545 0.020744 0.021261', '2 0.314408 0.610512 0.020782 0.020797', '1 0.31912 0.568783 0.02063 0.020722', '15 0.359448 0.590768 0.019785 0.020179', '25 0.357833 0.820139 0.018979 0.018986', '0 0.3421 0.67602 0.020477 0.019997', '23 0.558874 0.542972 0.0197 0.020154']"
Innova,E:\datacamera2\2025-06-24_10-25-15\CAMERA_1.jpg,CAMERA_1.jpg,12,"[4, 7, 8, 9, 10, 13, 14, 16, 19, 24, 25, 26]",4,"['4 0.535645 0.585716 0.02917 0.033579', '16 0.542317 0.674061 0.02023 0.033642', '26 0.373717 0.725692 0.019942 0.020313', '7 0.625488 0.691517 0.018701 0.018596', '9 0.561638 0.622576 0.019871 0.020587', '8 0.599401 0.689244 0.043616 0.077099', '10 0.571219 0.628316 0.018822 0.020345', '25 0.357093 0.819444 0.020159 0.020674', '24 0.614237 0.775092 0.019004 0.019211', '19 0.587003 0.610147 0.019312 0.01869', '13 0.509541 0.551902 0.019624 0.019783', '14 0.589469 0.629992 0.019904 0.019587']"
Zenix,E:\datacamera2\2025-06-24_10-25-15\CAMERA_1.jpg,CAMERA_1.jpg,0,[],-,[]
Fortuner,E:\datacamera2\2025-06-24_10-23-33\CAMERA_1.jpg,CAMERA_1.jpg,20,"[0, 4, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 22, 24, 25, 26, 27, 28]",26,"['26 0.370033 0.727352 0.019625 0.019518', '9 0.347581 0.642864 0.019373 0.019331', '6 0.532941 0.586247 0.0292 0.035104', '11 0.308381 0.685485 0.020152 0.019748', '16 0.417573 0.541656 0.020453 0.020444', '10 0.356543 0.713377 0.01999 0.019983', '17 0.505553 0.552182 0.020689 0.020565', '12 0.334817 0.6855 0.046314 0.085341', '14 0.567379 0.629081 0.019779 0.020096', '4 0.55373 0.85441 0.027965 0.05073', '13 0.558621 0.624661 0.020192 0.020354', '28 0.592 0.780732 0.020381 0.020165', '24 0.610153 0.775653 0.019871 0.01988', '22 0.582247 0.609244 0.020708 0.020439', '25 0.355082 0.822063 0.019765 0.019653', '27 0.549381 0.817498 0.020127 0.019896', '15 0.358698 0.56561 0.020464 0.020576', '0 0.59147 0.682637 0.0201 0.020173', '5 0.615414 0.62688 0.020689 0.037089', '18 0.586727 0.629876 0.019778 0.01998']"
Innova,E:\datacamera2\2025-06-24_10-23-33\CAMERA_1.jpg,CAMERA_1.jpg,18,"[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 16, 17, 19, 24, 25, 26]",7,"['7 0.308037 0.685214 0.019696 0.019607', '6 0.356493 0.713784 0.018954 0.019572', '0 0.591358 0.682885 0.019355 0.019694', '4 0.532588 0.587257 0.029673 0.033005', '8 0.333833 0.684558 0.045975 0.084023', '5 0.347524 0.642669 0.019528 0.01985', '16 0.53776 0.675458 0.02026 0.037088', '19 0.581399 0.608966 0.020413 0.020594', '24 0.609757 0.775622 0.019466 0.019845', '9 0.558014 0.622955 0.019616 0.020656', '26 0.36982 0.727075 0.01968 0.019986', '25 0.354488 0.821233 0.019734 0.02032', '10 0.567691 0.628336 0.019598 0.020149', '14 0.586068 0.629849 0.020188 0.01938', '3 0.615447 0.618894 0.020612 0.050737', '17 0.592336 0.780687 0.01926 0.019736', '2 0.555179 0.85678 0.021329 0.04074', '11 0.358207 0.565273 0.019815 0.019834']"
Zenix,E:\datacamera2\2025-06-24_10-23-33\CAMERA_1.jpg,CAMERA_1.jpg,0,[],-,[]
Fortuner,E:\datacamera2\2025-06-24_10-21-53\CAMERA_1.jpg,CAMERA_1.jpg,0,[],-,[]
Innova,E:\datacamera2\2025-06-24_10-21-53\CAMERA_1.jpg,CAMERA_1.jpg,0,[],-,[]
Zenix,E:\datacamera2\2025-06-24_10-21-53\CAMERA_1.jpg,CAMERA_1.jpg,11,"[2, 3, 4, 5, 7, 8, 13, 14, 15, 18, 19]",7,"['7 0.611594 0.580517 0.019593 0.019407', '4 0.557787 0.799727 0.020055 0.019987', '15 0.313324 0.684113 0.020265 0.020609', '14 0.40838 0.571611 0.020433 0.019879', '2 0.343849 0.463581 0.020096 0.029086', '18 0.527399 0.673795 0.020343 0.020812', '3 0.3644 0.693386 0.059249 0.073554', '8 0.500136 0.75202 0.019966 0.020602', '5 0.578394 0.942696 0.020534 0.020383', '19 0.549987 0.765085 0.01954 0.020252', '13 0.547403 0.94288 0.020043 0.02102']"
Fortuner,E:\datacamera2\2025-06-24_10-20-17\CAMERA_1.jpg,CAMERA_1.jpg,17,"[0, 4, 5, 6, 10, 11, 12, 13, 14, 15, 18, 21, 22, 24, 25, 26, 28]",12,"['12 0.341264 0.674416 0.046187 0.083662', '24 0.617017 0.763823 0.020176 0.020249', '14 0.572892 0.618521 0.019567 0.019487', '0 0.596642 0.672424 0.019798 0.019826', '26 0.376556 0.714936 0.020173 0.020038', '18 0.591883 0.619814 0.019999 0.019938', '11 0.314337 0.675583 0.02055 0.019936', '28 0.598506 0.76963 0.020021 0.020234', '10 0.362694 0.701647 0.019509 0.019557', '4 0.559737 0.84421 0.028455 0.049307', '5 0.61998 0.615054 0.021353 0.039277', '22 0.586891 0.600506 0.019439 0.018979', '6 0.537907 0.57587 0.028534 0.035071', '15 0.36504 0.556535 0.019394 0.019355', '13 0.564593 0.615235 0.020704 0.019331', '25 0.360735 0.809467 0.019584 0.019984', '21 0.355418 0.519747 0.018819 0.018564']"
Innova,E:\datacamera2\2025-06-24_10-20-17\CAMERA_1.jpg,CAMERA_1.jpg,24,"[0, 1, 3, 4, 6, 7, 8, 9, 10, 11, 12, 14, 15, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]",21,"['21 0.429138 0.490668 0.01947 0.019977', '4 0.537701 0.577384 0.027167 0.031794', '26 0.376311 0.715702 0.019752 0.020315', '8 0.340899 0.672699 0.042998 0.080152', '28 0.562852 0.530177 0.020841 0.020815', '12 0.424287 0.532462 0.020101 0.020628', '23 0.576055 0.511488 0.020027 0.020271', '11 0.364852 0.55659 0.019714 0.020336', '1 0.561934 0.84462 0.026383 0.04433', '20 0.354837 0.519209 0.020473 0.020486', '22 0.498176 0.494354 0.019878 0.020225', '7 0.31396 0.675205 0.020092 0.019164', '19 0.587055 0.598233 0.020111 0.020855', '10 0.57361 0.618707 0.019402 0.019782', '0 0.596439 0.67324 0.019984 0.020302', '3 0.619983 0.608659 0.01916 0.048435', '9 0.563826 0.613168 0.020514 0.020552', '15 0.543721 0.660952 0.020236 0.020144', '27 0.442319 0.493708 0.019964 0.020332', '14 0.592187 0.618669 0.020195 0.019623', '17 0.598511 0.769801 0.019945 0.020179', '6 0.362183 0.70163 0.019542 0.020189', '24 0.616755 0.763988 0.01967 0.020043', '25 0.360232 0.809851 0.019965 0.02086']"
